"admin2","admin4Id","areaId","ad4.X","ad4.Y","w","ad2.X","ad2.Y","aid.X","aid.Y","d2","d1","aid.pop","ad4.pop","ad2.pop"
"Malabo","L026",278,475318.378863427,413996.259353419,1,474656.387942084,413489.949758617,476929.4035,415009.2457,1903.03487041199,2734.01899847646,11420,1112,197050
"Malabo","L030",1028,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,459947.9722,402091.6912,16885.4356925575,18608.0034343042,427,1092,197050
"Malabo","L030",390,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,470937.2397,413022.7052,3460.2714503775,3748.38380160777,214,1092,197050
"Malabo","L030",2252,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,444955.6301,381222.7701,41918.0186812567,43855.5116207255,597,1092,197050
"Malabo","L030",335,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,474931.9596,414015.669,2738.79997660318,593.565884638585,16625,1092,197050
"Malabo","L030",394,474012.232046509,411435.915806536,2,474656.387942084,413489.949758617,474931.7041,413021.5977,1832.98006656179,543.279520707583,12493,1092,197050
"Malabo","L030",395,474012.232046509,411435.915806536,2,474656.387942084,413489.949758617,475930.3186,413021.3464,2488.50280156119,1357.38293376808,15624,1092,197050
"Malabo","L030",2919,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,462932.8897,370280.139,42621.0017641597,44771.9572592894,165,1092,197050
"Malabo","L030",277,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,475930.81,415009.488,4056.02756222467,1983.21659148156,9718,1092,197050
"Malabo","L030",279,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,477927.9965,415009.0137,5300.9659319324,3607.07330314175,9281,1092,197050
"Malabo","L030",704,474012.232046509,411435.915806536,5,474656.387942084,413489.949758617,489910.3601,408048.5794,16254.9845750851,16195.4369491565,0,1092,197050
"Malabo","L030",278,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,476929.4035,415009.2457,4612.87066983162,2734.01899847646,11420,1092,197050
"Malabo","L030",336,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,475930.564,414015.4171,3214.62663567195,1378.27448406548,16076,1092,197050
"Malabo","L030",514,474012.232046509,411435.915806536,1,474656.387942084,413489.949758617,476928.4638,411032.9657,2943.93893082535,3346.50554585253,2067,1092,197050
"Malabo","L031",1321,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,457948.4245,397122.0967,24054.5119897569,23389.3705800413,159,2095,197050
"Malabo","L031",2199,476265.218885911,412714.229026582,2,474656.387942084,413489.949758617,450949.8119,382213.9081,39637.6009300105,39245.2867166322,1282,2095,197050
"Malabo","L031",970,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,460947.0965,403085.3774,18093.0831279929,17210.4560604796,60,2095,197050
"Malabo","L031",512,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,474931.1948,411033.4558,2145.83757562946,2471.81742405851,3657,2095,197050
"Malabo","L031",2252,476265.218885911,412714.229026582,8,474656.387942084,413489.949758617,444955.6301,381222.7701,44407.2329161297,43855.5116207255,597,2095,197050
"Malabo","L031",336,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,475930.564,414015.4171,1343.53425526494,1378.27448406548,16076,2095,197050
"Malabo","L031",506,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,468939.3224,411035.1105,7515.86311401346,6221.82241775943,530,2095,197050
"Malabo","L031",2324,476265.218885911,412714.229026582,3,474656.387942084,413489.949758617,457941.5747,380222.7313,37302.1897583549,37230.2673330598,242,2095,197050
"Malabo","L031",453,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,474931.4491,412027.5267,1500.16729971719,1488.06580599402,5136,2095,197050
"Malabo","L031",1175,476265.218885911,412714.229026582,1,474656.387942084,413489.949758617,488910.8174,400096.1811,17864.1063380469,19559.6983118669,431,2095,197050
"Malabo","L031",2918,476265.218885911,412714.229026582,4,474656.387942084,413489.949758617,461933.8505,370280.4836,44788.5127096292,45043.5447614628,306,2095,197050
"Malabo","L035",459,478480.620075574,409297.874126064,6,474656.387942084,413489.949758617,480923.1887,412026.1752,3661.93503971166,6435.48193205979,593,244,197050
"Malabo","L035",451,478480.620075574,409297.874126064,7,474656.387942084,413489.949758617,472934.1979,412028.0587,6181.96625334184,2258.99623911113,5281,244,197050
"Malabo","L035",509,478480.620075574,409297.874126064,3,474656.387942084,413489.949758617,471935.2866,411034.2672,6771.73915723902,3665.34709715031,2775,244,197050
"Malabo","L035",398,478480.620075574,409297.874126064,2,474656.387942084,413489.949758617,478926.1587,413020.6537,3749.34559916371,4295.48380462391,5145,244,197050
"Malabo","L035",2324,478480.620075574,409297.874126064,1,474656.387942084,413489.949758617,457941.5747,380222.7313,35597.9818992023,37230.2673330598,242,244,197050
"Malabo","L035",394,478480.620075574,409297.874126064,1,474656.387942084,413489.949758617,474931.7041,413021.5977,5144.01806536197,543.279520707583,12493,244,197050
"Malabo","L035",2918,478480.620075574,409297.874126064,1,474656.387942084,413489.949758617,461933.8505,370280.4836,42381.0375858185,45043.5447614628,306,244,197050
"Malabo","L035",220,478480.620075574,409297.874126064,1,474656.387942084,413489.949758617,477928.2225,416003.0837,6727.92527543963,4125.62038749364,2770,244,197050
"Malabo","L037",511,466335.017193068,407396.722606245,3,474656.387942084,413489.949758617,473932.5594,411033.7161,8423.20421572051,2560.66623050693,2115,2287,197050
"Malabo","L037",460,466335.017193068,407396.722606245,6,474656.387942084,413489.949758617,481921.8102,412025.9856,16259.7107018022,7411.44733797206,2760,2287,197050
"Malabo","L037",277,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,475930.81,415009.488,12248.8136786352,1983.21659148156,9718,2287,197050
"Malabo","L037",2324,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,457941.5747,380222.7313,28440.73980044,37230.2673330598,242,2287,197050
"Malabo","L037",2252,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,444955.6301,381222.7701,33795.7687037063,43855.5116207255,597,2287,197050
"Malabo","L037",2258,466335.017193068,407396.722606245,2,474656.387942084,413489.949758617,450949.3504,381219.8213,30363.611522087,40042.2878936435,483,2287,197050
"Malabo","L037",502,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,464944.8089,411036.5162,3896.25159650292,10016.6912559586,2162,2287,197050
"Malabo","L037",220,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,477928.2225,416003.0837,14438.5546563628,4125.62038749364,2770,2287,197050
"Malabo","L037",335,466335.017193068,407396.722606245,2,474656.387942084,413489.949758617,474931.9596,414015.669,10849.7866389855,593.565884638585,16625,2287,197050
"Malabo","L037",2144,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,454945.9884,383206.2086,26737.4446186557,36133.1541478281,100,2287,197050
"Malabo","L037",1028,466335.017193068,407396.722606245,1,474656.387942084,413489.949758617,459947.9722,402091.6912,8302.87311505606,18608.0034343042,427,2287,197050
"Malabo","L040",334,461139.74766405,400131.833822968,1,474656.387942084,413489.949758617,473933.3547,414015.9312,18879.7389008747,894.110477423316,10423,494,197050
"Malabo","L040",277,461139.74766405,400131.833822968,1,474656.387942084,413489.949758617,475930.81,415009.488,20979.0399884575,1983.21659148156,9718,494,197050
"Malabo","L040",336,461139.74766405,400131.833822968,1,474656.387942084,413489.949758617,475930.564,414015.4171,20286.0082937495,1378.27448406548,16076,494,197050
"Malabo","L040",278,461139.74766405,400131.833822968,2,474656.387942084,413489.949758617,476929.4035,415009.2457,21694.4835286897,2734.01899847646,11420,494,197050
"Malabo","L040",335,461139.74766405,400131.833822968,1,474656.387942084,413489.949758617,474931.9596,414015.669,19570.0278310772,593.565884638585,16625,494,197050
"Malabo","L040",397,461139.74766405,400131.833822968,4,474656.387942084,413489.949758617,477927.5458,413020.8744,21165.0072820627,3304.6188015361,2437,494,197050
"Malabo","L040",502,461139.74766405,400131.833822968,1,474656.387942084,413489.949758617,464944.8089,411036.5162,11549.4843501029,10016.6912559586,2162,494,197050
"Malabo","L043",2252,462264.693740439,408062.738507799,1,474656.387942084,413489.949758617,444955.6301,381222.7701,31937.2445311173,43855.5116207255,597,14,197050
"Malabo","L045",276,466305.152034525,416207.935327466,1,474656.387942084,413489.949758617,474932.2158,415009.7405,8709.87371080281,1544.61804495351,2708,48,197050
"Malabo","L045",510,466305.152034525,416207.935327466,1,474656.387942084,413489.949758617,472933.9233,411033.9866,8408.94487581139,2999.77323804885,1242,48,197050
"Malabo","L045",447,466305.152034525,416207.935327466,1,474656.387942084,413489.949758617,468939.6874,412029.245,4939.86127789012,5900.36638520969,442,48,197050
"Malabo","L045",451,466305.152034525,416207.935327466,1,474656.387942084,413489.949758617,472934.1979,412028.0587,7836.81170549654,2258.99623911113,5281,48,197050
"Malabo","L045",1292,466305.152034525,416207.935327466,1,474656.387942084,413489.949758617,487911.8407,398108.1711,28185.9975905879,20305.3230094973,336,48,197050
"Malabo","L049",969,474975.487728272,413601.963421666,2,474656.387942084,413489.949758617,459948.3697,403085.7723,18341.3345191406,18015.901565003,75,402,197050
"Malabo","L049",2694,474975.487728272,413601.963421666,2,474656.387942084,413489.949758617,473923.2222,374253.2091,39362.8216647235,39243.5899162772,326,402,197050
"Malabo","L049",335,474975.487728272,413601.963421666,6,474656.387942084,413489.949758617,474931.9596,414015.669,415.989186752974,593.565884638585,16625,402,197050
"Malabo","L049",2919,474975.487728272,413601.963421666,1,474656.387942084,413489.949758617,462932.8897,370280.139,44964.4819662386,44771.9572592894,165,402,197050
"Malabo","L051",1757,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,480919.0384,390156.7335,25677.3411821278,24159.0515486312,115,426,197050
"Malabo","L051",2258,477146.150623575,415555.378503423,5,474656.387942084,413489.949758617,450949.3504,381219.8213,43187.9940541743,40042.2878936435,483,426,197050
"Malabo","L051",278,477146.150623575,415555.378503423,2,474656.387942084,413489.949758617,476929.4035,415009.2457,587.571573982464,2734.01899847646,11420,426,197050
"Malabo","L051",447,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,468939.6874,412029.245,8931.94581957607,5900.36638520969,442,426,197050
"Malabo","L051",394,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,474931.7041,413021.5977,3365.08819580787,543.279520707583,12493,426,197050
"Malabo","L051",339,477146.150623575,415555.378503423,3,474656.387942084,413489.949758617,478926.3735,414014.7227,2354.31811664625,4302.11149376872,4125,426,197050
"Malabo","L051",336,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,475930.564,414015.4171,1961.92047836938,1378.27448406548,16076,426,197050
"Malabo","L051",220,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,477928.2225,416003.0837,901.152796665378,4125.62038749364,2770,426,197050
"Malabo","L051",2325,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,458940.5253,380222.3399,39747.558546071,36792.9640595863,101,426,197050
"Malabo","L051",395,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,475930.3186,413021.3464,2810.61669580304,1357.38293376808,15624,426,197050
"Malabo","L051",645,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,489910.4617,409042.6432,14329.8066416894,15889.1567377961,3099,426,197050
"Malabo","L051",2198,477146.150623575,415555.378503423,2,474656.387942084,413489.949758617,449950.8711,382214.3772,43025.6388247774,39856.2918659504,1168,426,197050
"Malabo","L051",2252,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,444955.6301,381222.7701,47063.3361690547,43855.5116207255,597,426,197050
"Malabo","L051",396,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,476928.9325,413021.1053,2543.56528966646,2320.40382133982,5486,426,197050
"Malabo","L051",2087,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,456944.2457,384199.4526,37300.2821946709,34229.4201908646,15,426,197050
"Malabo","L051",509,477146.150623575,415555.378503423,1,474656.387942084,413489.949758617,471935.2866,411034.2672,6898.80796153371,3665.34709715031,2775,426,197050
