areaId,N1,w_total,Peri,Malabo,Baney,Luba,Riaba,Moka,Ureka,N2.ti_mal,N2.ti_ban,N2.ti_lub,N2.ti_ria,N2.ti_mok,N2.ti_ure,N2.to,t.ti_mal,t.ti_ban,t.ti_lub,t.ti_ria,t.ti_mok,t.ti_ure,t.to,t_mal,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure,d.to,d.ti_ban,d.ti_mal,d.ti_lub,d.ti_ria,d.ti_mok,d.ti_ure,d_mal
693,5,0,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,20.0264915552184,28.8381517275676,89.0040827863158,83.80888941,110.000616578,140.4365879,160.026491555218,20.0264915552184,0,0,0,0,0,0,0,242218.460449782,4503.37110383942,6732.44533717429,37024.1910609305,30588.644435165,41318.4193735263,54738.0635073195,6732.44533717429
704,9,1,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,25.4140920325287,14.1027561397297,92.1791366657895,58.8116106315385,102.397619258,145.1438423,165.414092032529,25.4140920325287,0,0,0,1,0,0,0,251278.442462874,9076.680878956,15792.4273502662,45616.0887787861,34309.9570117884,46819.0776001873,60545.5691556523,15792.4273502662
734,37,6,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,15.8390125758966,35.6275548686486,59.7077916242105,69.6176519603846,80.70432543,111.1402968,155.839012575897,15.8390125758966,2,1,0,2,0,0,1,251106.742028836,21153.0459114557,15620.7269162279,26074.7032772252,31660.7017593298,36883.8232767318,48225.4658876152,15620.7269162279
735,165,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,14.3490938851954,33.9903106118919,59.3401165073684,69.1034880969231,80.336650314,110.7726217,154.349093885195,14.3490938851954,1,0,0,0,0,0,0,250206.20872871,20179.713487141,14720.1936161022,26430.1053052181,31280.4032964977,36859.1336860871,48380.3765434162,14720.1936161022
736,25,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,31.6772230672414,51.5156750435135,78.5214511613158,88.0937492630769,99.51798495,129.9539563,171.677223067241,31.6772230672414,0,0,0,1,0,0,0,249319.153777957,19208.9824147189,13833.1386653493,26818.0164683827,30927.69918412,36861.5049009998,48555.3478580529,13833.1386653493
764,86,5,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,51.5791702954023,37.461047302973,117.413774348947,80.5570961457692,124.1431048,171.3089206,191.579170295402,51.5791702954023,1,0,4,0,0,0,0,252572.992918217,10402.1518263604,17086.9778056089,45908.6674752403,33945.0605519884,46624.2035868082,60355.31621839,17086.9778056089
792,247,30,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,17.4254084195402,37.5018861713513,59.0636838947368,69.2641333461538,80.0602177,110.4961891,157.42540841954,17.4254084195402,3,17,9,1,0,0,0,252437.292543247,22357.5970761172,16951.2774306393,24808.156187701,31168.4631385698,35943.6146864126,47104.6419215209,16951.2774306393
793,141,3,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,15.5922477242414,35.5577651913514,57.7726619257895,67.897753805,78.76919573,109.2051671,155.592247724241,15.5922477242414,2,0,1,0,0,0,0,251549.260246192,21392.4402952325,16063.2451335838,25141.7962175665,30749.6524318468,35890.4902662725,47242.1114115067,16063.2451335838
794,26,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,16.0823227692414,35.9254403091892,59.4099316605263,69.3885318473077,80.406465456,110.8424368,156.082322769241,16.0823227692414,0,0,1,0,0,0,0,250674.976522536,20430.5059876118,15188.9614099278,25510.2031136106,30357.9401692973,35865.1175342926,47400.2383996439,15188.9614099278
851,17,4,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,16.9678407574598,37.1252269224324,57.1285545581579,67.5088274811538,78.125088354,108.5610597,156.96784075746,16.9678407574598,1,0,0,3,0,0,0,252902.766172691,22627.949260176,17416.7510600825,23867.144371648,30275.2500246191,34951.833629744,46118.8140983255,17416.7510600825
882,198,5,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,28.167288564023,13.4464245350811,92.3753407057895,51.8278927407692,95.413901384,144.7553257,168.167288564023,28.167288564023,0,0,5,0,0,0,0,253429.901822192,11425.5952407637,17943.8867095843,44878.190198919,32257.2579226908,45069.2060990083,58796.3720411747,17943.8867095843
910,52,2,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,20.0828844186782,40.4425908651351,57.3109730255263,68.0441540342308,78.30750683,108.7434782,160.082884418678,20.0828844186782,0,0,2,0,0,0,0,253411.332112296,22938.2296124241,17925.3169996879,22930.6121437283,29388.5150966658,33960.1873396352,45133.3487916951,17925.3169996879
941,254,20,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,29.2730765806897,13.7751723233513,92.5746172005263,50.7221047261538,94.308113354,143.6495376,169.27307658069,29.2730765806897,1,0,19,0,0,0,0,253923.929551871,12028.2353008646,18437.9144392627,44387.380827688,31426.532941335,44304.6989119581,58026.7393406452,18437.9144392627
969,51,8,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,18.943968842,39.3368174181081,53.9936097022895,64.8969130080769,74.9901435,105.4261149,158.943968842,18.943968842,1,0,7,0,0,0,0,253959.431769932,23286.8421439783,18473.4166573235,21999.1314832806,28508.8627308238,32968.6878498784,44148.2701582545,18473.4166573235
970,35,8,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,18.5396605572184,38.8751292416216,54.4553124827368,65.28758571,75.451846278,105.8878176,158.539660557218,18.5396605572184,6,0,2,0,0,0,0,253148.07134322,22361.7992616798,17662.0562306118,22374.7115491853,28050.3594106122,32910.7629700513,44294.9230691816,17662.0562306118
